id,name,country_id:id,code,pathao_city
base.bd_bagerhat,Bagerhat,base.bd,Bagerhat,52
base.bd_bandarban,Bandarban,base.bd,Bandarban,
base.bd_barguna,Barguna,base.bd,Barguna,
base.bd_barisal,Barisal,base.bd,Barisal,17
base.bd_bhola,Bhola,base.bd,Bhola,53
base.bd_bogra,Bogra,base.bd,Bogra,9
base.bd_brahmanbaria,Brahmanbaria,base.bd,Brahmanbaria,32
base.bd_chandpur,Chandpur,base.bd,Chandpur,8
base.bd_chapai,Chapainawabganj,base.bd,Chapainawabganj,15
base.bd_chittagong,Chittagong,base.bd,Chittagong,2
base.bd_chuadanga,Chuadanga,base.bd,Chuadanga,61
base.bd_comilla,Comilla,base.bd,Comilla,5
base.bd_coxs_bazar,Cox's Bazar,base.bd,Cox's Bazar,11
base.bd_dhaka,Dhaka,base.bd,Dhaka,1
base.bd_dinajpur,Dinajpur,base.bd,Dinajpur,35
base.bd_faridpur,Faridpur,base.bd,Faridpur,18
base.bd_feni,Feni,base.bd,Feni,6
base.bd_gaibandha,Gaibandha,base.bd,Gaibandha,38
base.bd_gazipur,Gazipur,base.bd,Gazipur,22
base.bd_gopalganj,Gopalganj,base.bd,Gopalganj,56
base.bd_habiganj,Habiganj,base.bd,Habiganj,30
base.bd_jaipurhat,Jaipurhat,base.bd,Jaipurhat,48
base.bd_jamalpur,Jamalpur,base.bd,Jamalpur,41
base.bd_jessore,Jessore,base.bd,Jessore,19
base.bd_jhalakati,Jhalakathi,base.bd,Jhalakathi,27
base.bd_jhenaidah,Jhenaidah,base.bd,Jhenaidah,49
base.bd_khagrachari,Khagrachari,base.bd,Khagrachari,63
base.bd_khulna,Khulna,base.bd,Khulna,20
base.bd_kishoreganj,Kishoreganj,base.bd,Kishoreganj,42
base.bd_kurigram,Kurigram,base.bd,Kurigram,
base.bd_kushtia,Kushtia,base.bd,Kushtia,28
base.bd_lakshmipur,Lakshmipur,base.bd,Lakshmipur,40
base.bd_lalmonirhat,Lalmonirhat,base.bd,Lalmonirhat,
base.bd_madaripur,Madaripur,base.bd,Madaripur,43
base.bd_magura,Magura,base.bd,Magura,
base.bd_manikganj,Manikganj,base.bd,Manikganj,16
base.bd_meherpur,Meherpur,base.bd,Meherpur,50
base.bd_moulvibazar,Moulvibazar,base.bd,Moulvibazar,12
base.bd_munshiganj,Munshiganj,base.bd,Munshiganj,23
base.bd_mymensingh,Mymensingh,base.bd,Mymensingh,26
base.bd_naogaon,Naogaon,base.bd,Naogaon,46
base.bd_narail,Narail,base.bd,Narail,
base.bd_narayanganj,Narayanganj,base.bd,Narayanganj,21
base.bd_narsingdi,Narsingdi,base.bd,Narsingdi,47
base.bd_natore,Natore,base.bd,Natore,14
base.bd_nawabganj,Nawabganj,base.bd,Nawabganj
base.bd_netrakona,Netrakona,base.bd,Netrakona,44
base.bd_nilphamari,Nilphamari,base.bd,Nilphamari,39
base.bd_noakhali,Noakhali,base.bd,Noakhali,7
base.bd_pabna,Pabna,base.bd,Pabna,24
base.bd_panchagarh,Panchagarh,base.bd,Panchagarh,37
base.bd_patuakhali,Patuakhali,base.bd,Patuakhali,29
base.bd_pirojpur,Pirojpur,base.bd,Pirojpur,31
base.bd_rajbari,Rajbari,base.bd,Rajbari,
base.bd_rajshahi,Rajshahi,base.bd,Rajshahi,4
base.bd_rangpur,Rangpur,base.bd,Rangpur,25
base.bd_satkhira,Satkhira,base.bd,Satkhira,51
base.bd_shariatpur,Shariatpur,base.bd,Shariatpur,
base.bd_sherpur,Sherpur,base.bd,Sherpur,33
base.bd_sirajganj,Sirajganj,base.bd,Sirajganj,10
base.bd_sunamganj,Sunamganj,base.bd,Sunamganj,45
base.bd_sylhet,Sylhet,base.bd,Sylhet,3
base.bd_tangail,Tangail,base.bd,Tangail,13
base.bd_thakurgaon,Thakurgaon,base.bd,Thakurgaon,
base.bd_rangamati,Rangamati,base.bd,Rangamati,
